sale_id,product_name,category,sale_date,quantity_sold,unit_price,total_sales,month,month_no,year,revenue_per_product,profit_margin
1,Laptop,Electronics,2020-01-10,3,800,2400,01,1,2020,2400,480.0
2,Smartphone,Electronics,2020-03-15,5,600,3000,03,3,2020,3000,600.0
3,Office Chair,Furniture,2020-06-20,2,150,300,06,6,2020,300,60.0
4,Tablet,Electronics,2020-09-25,4,300,1200,09,9,2020,1200,240.0
5,Desk,Furniture,2020-12-05,1,250,250,12,12,2020,250,50.0
6,Headphones,Electronics,2021-02-18,6,100,600,02,2,2021,600,120.0
7,Monitor,Electronics,2021-05-22,3,200,600,05,5,2021,600,120.0
8,Keyboard,Electronics,2021-08-30,5,50,250,08,8,2021,250,50.0
9,Mouse,Electronics,2021-11-10,4,40,160,11,11,2021,160,32.0
10,Gaming Chair,Furniture,2022-01-15,2,180,360,01,1,2022,360,72.0
11,Bookshelf,Furniture,2022-04-05,2,120,240,04,4,2022,240,48.0
12,Printer,Electronics,2022-07-19,3,150,450,07,7,2022,450,90.0
13,TV,Electronics,2022-10-27,1,900,900,10,10,2022,900,180.0
14,Wireless Earbuds,Electronics,2023-02-08,6,80,480,02,2,2023,480,96.0
15,Standing Desk,Furniture,2023-05-12,2,400,800,05,5,2023,800,160.0
16,External Hard Drive,Electronics,2023-08-21,4,120,480,08,8,2023,480,96.0
17,Smartwatch,Electronics,2023-11-14,3,250,750,11,11,2023,750,150.0
18,Fitness Tracker,Electronics,2024-03-29,5,100,500,03,3,2024,500,100.0
19,Bluetooth Speaker,Electronics,2024-06-17,4,150,600,06,6,2024,600,120.0
20,Couch,Furniture,2024-09-25,1,700,700,09,9,2024,700,140.0
21,Recliner,Furniture,2024-12-11,2,500,1000,12,12,2024,1000,200.0
22,Dining Table,Furniture,2025-02-23,1,800,800,02,2,2025,800,160.0
23,Bookshelf,Furniture,2025-04-18,3,120,360,04,4,2025,360,72.0
24,LED Desk Lamp,Furniture,2025-07-06,5,60,300,07,7,2025,300,60.0
25,Cordless Vacuum,Electronics,2025-10-09,2,250,500,10,10,2025,500,100.0
